feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,target
1,48.48669245878607,159.27,25.09227086693649,40.34225534823774,15.227622278759112,59.56817816010783,21.791014607910835,0.07134458862309234,6.833384133453063,54.477145628766316,10,20,97.23274775627337,7181.449947282153
2,47.56601629741408,352.8,21.420213699201856,39.82194167086501,32.939098960299674,67.0277110754823,23.192228378964906,4.717016264207926,7.535861369026073,84.39853626135577,0,6,151.4544906257641,7433.220859299976
1,30.43538965215946,866.29,15.74031017386742,48.08681049760014,16.604623222182138,56.1636671763594,22.692062504082934,7.632076482554744,-11.025026778715276,54.480052490480965,5,0,119.78019155287521,5474.521011488965
1,45.495419253012535,252.63,17.74309915750871,38.503656754540735,34.87648116133734,58.84548694416414,22.01193107294483,2.1551563764437907,-9.537155161885877,83.97570062061456,2,16,116.45924240763281,6701.178412967453
3,33.32187845449428,916.53,17.29024027118616,51.70234841294874,17.678085446419136,55.69300185058269,22.851683015154283,1.091192098906747,5.7960644066753275,10.881080363971572,0,16,110.40515999400753,5759.74740760456
2,34.58730889639359,841.63,16.545305984122923,53.6774641851124,16.575155736803488,48.699620934441356,22.75598747683765,7.470449925117919,-8.335611334518465,60.125147819635444,3,20,70.05157325218066,6240.707973210686
0,36.50925570311482,798.19,19.424908077287014,56.72190234200376,31.910571422392337,49.978763334292246,17.480388537927663,9.799619265560214,-4.641305463823594,33.745937538414246,0,12,98.14300699525525,7147.89353444146
3,47.86781317318357,499.9,21.17287773774622,30.62064913927171,42.280620988177596,49.950016990553785,21.580042827657937,3.844123607031824,-0.8345369581177418,46.58832430219181,7,6,39.346608499253136,6230.2874633039
9,53.194755928700694,631.43,17.748355349790355,47.22630532403867,24.810864381672623,48.36175774436374,20.277679236001575,8.35939051572693,7.432806834433501,32.45927349813331,8,2,143.53442039987917,9178.918875841284
10,43.82556040426605,431.2,17.29247492154106,49.39673409465513,34.16841290316668,55.429233996259285,16.228174646724757,7.804349809278365,-0.41262088004676467,58.654739022053455,0,17,35.09979322317825,7132.6776550811455
10,54.5854395462715,292.55,22.627038083263546,45.289042798627804,25.782394769237282,49.70798956909068,23.046705394679897,8.7709930429266,7.058074461026616,75.55611368083024,4,12,128.29934103869732,9057.223596636333
6,49.65776820980301,30.81,14.021869904952693,33.45672780974143,23.656797802644434,47.302282407271754,23.107036029415745,5.654419167919791,-10.22958003934602,14.313490920720906,4,8,54.066324763119944,6348.7518991300985
1,43.36185216145853,101.9,21.636807858307403,31.51126497308052,44.31230249165957,46.61359906103466,23.86245610977951,3.055446348933124,-2.297356801556462,24.773899428150916,6,7,93.52383175602594,5611.041870806268
9,38.24180612022213,533.96,21.0878060951194,50.28498164800014,11.996319760309921,62.822690824643736,14.98132519512872,6.714225942824382,-8.263773696585483,56.90410494282321,5,20,65.54819915967386,6230.864017054161
6,38.816907054335076,455.76,16.634112485397846,34.349456961393145,30.531823363859804,54.34872637061458,14.8250271035928,8.770579993634248,1.756790833435434,74.34108003811234,9,14,27.248357918568182,5171.758078070008
5,32.50791993431421,614.26,25.93708095320663,54.221040920824386,16.914639659630783,61.45430108237761,15.595617732509915,4.541541823055905,-5.665775907940698,80.05583274067891,8,16,49.71202846911695,6261.690185704175
9,37.565240629633564,480.3,19.790123848408985,50.86867740641263,42.631300525897316,49.726549316214914,19.921588418496217,1.0096247560446148,9.97550224452045,77.9716618301415,1,13,108.69962333822323,6052.877004709148
3,53.52354322688638,312.33,19.615423104705044,54.182219896512535,39.06483641915124,63.56409473365729,22.59418609799811,4.381135489897241,2.5748774625497375,79.36560529692045,9,4,140.33088368760627,9693.926350079695
3,39.60170991097103,174.74,15.80819959200284,35.13428255427607,10.912233275633772,59.202626927567266,24.011311692025696,2.7179847437032425,1.5943427042706801,49.39809065834037,7,5,75.81569968771768,4993.473838983374
5,42.460039820286745,836.12,21.94279750128333,41.159932642845064,12.210739467402092,60.503996933307754,16.458226084380502,3.30200134420098,4.97833993602137,48.2834658918503,2,10,67.47581175117547,7165.240408434624
