feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,target
1,725.24,13.680220956438953,69.82436552570707,39.53797209440634,26.884062929475988,63.921268532485165,140.1016650446724,3.308920543160913,49.42289435571289,7.148578169364581,2,6,112.3603362263055,584273.6690125806
0,205.51,16.77855219971325,93.98572141260586,35.818304633137686,17.48629312092516,68.7948744492998,102.8271566690871,7.900404449776887,53.848159838857974,28.991316755437797,4,9,49.54951167149637,57326.63546062235
2,240.38,20.366225883658586,59.90230778496359,15.260857076237595,18.855031366384683,70.86701885583295,91.75074958645448,-0.25062352593431503,55.15596008331399,34.60138412660854,10,8,26.032663925611484,66324.93032579748
7,551.5,23.761388307807657,69.77359411601458,25.078020144256676,27.916190511494946,66.44564521751686,141.44637333396838,-0.4692062895858223,66.88651075859676,55.792404332046445,3,20,95.722135172604,333786.04935353115
0,633.62,18.474067235070272,64.73060071401011,43.859302743554764,25.13789177387527,63.88501866951378,67.97479177810483,-9.693744828428644,65.70903995167838,41.68172117576053,1,14,131.33742117889514,456954.65238142706
10,317.69,19.776624052464136,68.39638208083309,8.51613882699132,27.02135340388937,80.0028774594506,115.1911201891574,-8.639398417760773,55.63734370193924,35.74907947567101,5,3,101.4154589700217,106465.28474276135
6,797.74,18.879316122211588,67.88311350246795,10.425898114810305,21.352413321872444,57.68693277329918,50.55397090101826,5.003208096179732,49.15839689545563,58.79574051556296,5,8,112.61601678061349,655591.1338118018
3,347.6,20.945694476581597,34.572510025512486,13.22968329246706,16.925828593990566,89.23254524754239,123.09167335217228,-0.40013524745157925,52.54928735743408,23.49090644007213,7,18,59.811327964292964,130511.88885807806
1,446.5,17.941216004052855,50.69434361778903,9.659963271598734,26.30625573716183,94.35499841901556,55.75538760216852,9.654910323610192,59.220027948697606,68.99631424911455,1,1,35.97740581615451,208487.5350934422
10,632.1,20.863745209394747,97.77160579708367,38.597738241589475,15.518132784988609,65.02025480226926,32.34062004357265,4.63662256558427,64.47522367299995,80.61500644335364,8,0,89.39770319776478,448493.93133739283
0,114.85,18.854507979585932,60.79558273373762,43.55850938922793,20.50238832171737,89.30369914960023,44.402734817417794,-2.3030143447921283,62.122574527565185,34.80365930368278,5,8,49.097348740082644,23536.9120465365
10,289.22,19.104775545978324,33.29323832288561,14.81989268231573,24.405185839516328,60.23367157648472,68.8645567219408,4.5245557134077385,52.048678547231724,11.65268768369336,4,10,130.07922081341005,91837.42594758722
7,670.75,15.270204642331333,33.6150028147784,39.77047756574967,21.698289850717565,82.7798840666807,29.354840564034458,-6.767347068642511,65.52531975152684,21.128691456320766,6,8,67.59331197821206,504034.2981706489
8,832.91,15.60227915913267,91.9328055672158,9.767271534297405,25.16130179333287,76.19227218591571,61.43353725317825,8.24459434267814,47.43947536103421,6.964845639005571,8,10,116.49826029657078,709684.6598758118
6,612.26,18.685035057827545,78.70686296519872,18.907465445141366,22.591686749095672,61.07396241069435,112.90038906676767,-0.1033209011989622,51.40188408006227,49.84087278816646,8,20,35.076199972323664,398559.80838722666
