feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,target
200,248.66,98.93393176984043,140.23156221504257,15.231568025709134,116.04439695597053,101.57127452126741,55.2565990116099,479.75512911217464,1076.912024705726,1532.7515271828972,54,13298.179972447359
135,165.25,246.7751770975656,72.194409200395,19.962197812254033,251.530180153566,135.57697843222667,119.09032549400308,298.65143333966716,82.56191608473061,1421.0826138496343,231,25052.67333381761
225,419.68,406.33589674363105,53.50610485557351,23.491975405483018,97.4434492485066,74.40460954277083,312.2653549510393,261.8129034391218,1033.0770926765679,1624.965935759846,300,121486.85939107584
139,532.28,191.63231201498334,55.4692212939913,45.51527010628907,232.08238247409494,145.0571723067969,136.97566867662985,301.14858857558534,515.3807334074661,1861.7818959843787,103,71211.5109160424
161,8.12,258.16538871674715,224.19154155350992,33.93943717104683,88.6843838565738,106.01150560943947,340.4145853251657,386.82770693761023,264.061694014785,1439.4499035250385,204,119429.73679593008
149,513.99,170.6320283924279,53.013258726387505,16.262510221372633,156.11905713552778,133.41542735442488,172.22713137860703,447.1375110215753,168.4282108760642,1548.0523515552784,56,50954.19162630065
189,197.4,192.39067964395264,119.00275319870639,25.269966030977738,158.1221908218059,174.60878295213445,184.74269938374957,438.37151091913654,834.6051257036283,1276.0605295110079,94,48660.90967213006
148,645.94,320.7963413752024,33.20820108093077,20.551517098490763,35.603407375872536,139.9803445887341,179.15566629934426,288.1914074202579,411.4017044691259,1188.8624854393313,114,62514.02875830022
165,913.41,273.3229954441333,49.171758225966606,17.26105224048532,35.1100120146498,173.80927564973058,250.93397456900937,283.65673102458345,855.531087145665,2023.0585206946585,59,100775.34374468256
243,395.31,336.72894404711604,194.44864230397656,25.78532696984265,122.37156904970972,156.14331835409325,307.1025488044039,305.36706900524894,1050.6181578418214,1182.9952346803775,181,118667.71017601121
223,64.83,97.90416185859233,148.15403874730174,34.07101515990061,246.83327778752732,164.41850693894625,366.73297477955106,497.2730277845838,759.2162815481302,1520.4949596545796,123,142239.31617209036
163,83.28,232.5337506013081,117.30527516350043,41.70497370032866,181.07678854129225,119.55821576717848,140.8693031766723,354.61292197685333,119.69594478899491,1810.673253725833,161,29971.540246139088
191,638.79,96.74313928149691,64.7138023117437,21.737812668106265,34.74477025338739,57.39419387498096,252.17681749407777,455.5098825562914,850.184934362849,1201.928911638122,20,94381.84600796073
223,764.62,378.0177654024603,41.13221772379782,32.75169260179267,70.46978550313337,74.69381511278287,263.4398606679236,340.29875141737796,673.5548122423116,1293.4379954509768,147,124470.51822996404
